,Date,Time,Tier,Tournament,Score,Vs. Team,VOD
0,2022-09-25,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,0 : 2,Rebellion Zion,['https://youtu.be/ueiwS1cJE08']
1,2022-09-24,09:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 1,Alter Ego,['https://youtu.be/2tPE8S1P-XI']
2,2022-09-18,11:15 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 0,AURA Fire,['https://youtu.be/2in56gIhXLM']
3,2022-09-17,06:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 0,Geek Fam ID,['https://youtu.be/tM588LLoqi4']
4,2022-09-10,11:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,0 : 2,ONIC Esports,['https://youtu.be/aHNWYmGBpzA']
5,2022-09-09,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 0,Bigetron Alpha,['https://youtu.be/Uha09BjNIVQ']
6,2022-09-03,06:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,0 : 2,AURA Fire,['https://youtu.be/hDYdDJ-zlz0']
7,2022-08-28,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,0 : 2,Rebellion Zion,['https://youtu.be/Q2jvXa4vjE0']
8,2022-08-27,11:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,0 : 2,EVOS Legends,['https://youtu.be/CvhmYjlH-uY']
9,2022-08-21,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 1,Bigetron Alpha,['https://youtu.be/ps3RhbFbbqA']
10,2022-08-20,11:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 1,ONIC Esports,['https://youtu.be/5V2GgFgHNHs']
11,2022-08-14,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 0,Alter Ego,['https://youtu.be/vPt0BOrhPak']
12,2022-08-12,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 10/Regular Season,2 : 1,Geek Fam ID,['https://youtu.be/Qr_XR6zdttU']
13,2022-06-19,08:30 UTC,A-Tier Tournaments,MSC/2022/Playoffs,0 : 4,RSG Philippines,['https://youtu.be/cOce_FJOGGM?t=5572']
14,2022-06-18,03:00 UTC,A-Tier Tournaments,MSC/2022/Playoffs,3 : 1,RSG Philippines,['https://youtu.be/Eeb0Y29p9lk?t=3390']
15,2022-06-15,10:00 UTC,A-Tier Tournaments,MSC/2022/Playoffs,3 : 0,TODAK,['https://youtu.be/JMk-KJH86_U?t=18306']
16,2022-06-14,11:40 UTC,A-Tier Tournaments,MSC/2022/Playoffs,2 : 1,EVOS SG,['https://youtu.be/EmYO-c2Ia5c?t=31815']
17,2022-06-12,10:00 UTC,A-Tier Tournaments,MSC/2022/Group Stage,1 : 1,Omega Esports,['https://youtu.be/iUUkXVpq3kQ?t=24812']
18,2022-06-12,07:00 UTC,A-Tier Tournaments,MSC/2022/Group Stage,2 : 0,IDONOTSLEEP Esports,['https://youtu.be/iUUkXVpq3kQ?t=14927']
19,2022-04-24,09:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Playoffs,4 : 1,ONIC Esports,[]
20,2022-04-23,11:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Playoffs,3 : 2,ONIC Esports,[]
21,2022-04-22,11:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Playoffs,3 : 2,EVOS Legends,[]
22,2022-04-09,11:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 1,EVOS Legends,[]
23,2022-04-03,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,Rebellion Zion,[]
24,2022-04-02,11:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 1,Alter Ego,[]
25,2022-03-27,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 1,AURA Fire,[]
26,2022-03-26,06:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,Geek Fam ID,[]
27,2022-03-19,11:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,ONIC Esports,[]
28,2022-03-18,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,Bigetron Alpha,[]
29,2022-03-12,06:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,AURA Fire,[]
30,2022-03-06,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 1,Rebellion Zion,[]
31,2022-03-05,11:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,1 : 2,EVOS Legends,[]
32,2022-02-27,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,Bigetron Alpha,[]
33,2022-02-26,11:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,0 : 2,ONIC Esports,[]
34,2022-02-20,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,Alter Ego,[]
35,2022-02-18,08:10 UTC,A-Tier Tournaments,MPL/Indonesia/Season 9/Regular Season,2 : 0,Geek Fam ID,[]
36,2021-12-17,06:00 UTC,S-Tier Tournaments,M3 World Championship/Playoffs,0 : 3,Blacklist International,[]
37,2021-12-15,10:00 UTC,S-Tier Tournaments,M3 World Championship/Playoffs,0 : 3,ONIC Philippines,[]
38,2021-12-12,10:00 UTC,S-Tier Tournaments,M3 World Championship/Playoffs,3 : 1,TODAK,[]
39,2021-12-09,11:00 UTC,S-Tier Tournaments,M3 World Championship/Group Stage,1 : 0,RSG Singapore,[]
40,2021-12-09,09:00 UTC,S-Tier Tournaments,M3 World Championship/Group Stage,1 : 0,GX Squad,[]
41,2021-12-09,06:00 UTC,S-Tier Tournaments,M3 World Championship/Group Stage,1 : 0,Team SMG,[]
42,2021-11-07,,A-Tier Tournaments,ONE Esports MPL Invitational/2021,1 : 2,Blacklist International,[]
43,2021-11-05,,A-Tier Tournaments,ONE Esports MPL Invitational/2021,2 : 0,Team SMG,[]
44,2021-11-04,,A-Tier Tournaments,ONE Esports MPL Invitational/2021,2 : 0,ONIC Philippines,[]
45,2021-11-02,,A-Tier Tournaments,ONE Esports MPL Invitational/2021,2 : 0,EVOS Legends,[]
46,2021-10-24,,A-Tier Tournaments,MPL/Indonesia/Season 8/Playoffs,3 : 4,ONIC Esports,[]
47,2021-10-23,,A-Tier Tournaments,MPL/Indonesia/Season 8/Playoffs,3 : 1,ONIC Esports,[]
48,2021-10-22,,A-Tier Tournaments,MPL/Indonesia/Season 8/Playoffs,3 : 0,Alter Ego,[]
49,2021-10-02,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,0 : 2,EVOS Legends,[]
50,2021-09-26,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,Rebellion Zion,[]
51,2021-09-25,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,Alter Ego,[]
52,2021-09-19,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 1,AURA Fire,[]
53,2021-09-18,06:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,Geek Fam ID,[]
54,2021-09-12,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,1 : 2,ONIC Esports,[]
55,2021-09-11,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,Bigetron Alpha,[]
56,2021-09-04,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,AURA Fire,[]
57,2021-08-29,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,Rebellion Zion,[]
58,2021-08-28,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,EVOS Legends,[]
59,2021-08-22,08:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,Bigetron Alpha,[]
60,2021-08-21,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,1 : 2,ONIC Esports,[]
61,2021-08-15,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,0 : 2,Alter Ego,[]
62,2021-08-13,10:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 8/Regular Season,2 : 0,Geek Fam ID,[]
63,2021-04-30,,A-Tier Tournaments,MPL/Indonesia/Season 7/Playoffs,1 : 2,Aerowolf Pro Team,[]
64,2021-04-18,11:50 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,1 : 2,EVOS Legends,[]
65,2021-04-11,07:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 0,Aerowolf Pro Team,[]
66,2021-04-10,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 0,Alter Ego,[]
67,2021-04-04,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 1,AURA Fire,[]
68,2021-04-03,04:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 0,Geek Fam ID,[]
69,2021-03-28,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 0,ONIC Esports,[]
70,2021-03-27,07:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 0,Bigetron Alpha,[]
71,2021-03-20,07:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 0,AURA Fire,[]
72,2021-03-14,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,0 : 2,EVOS Legends,[]
73,2021-03-14,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,1 : 2,Aerowolf Pro Team,[]
74,2021-03-07,07:30 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 0,Bigetron Alpha,[]
75,2021-03-06,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,0 : 2,ONIC Esports,[]
76,2021-02-27,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,0 : 2,Alter Ego,[]
77,2021-02-26,10:00 UTC,A-Tier Tournaments,MPL/Indonesia/Season 7/Regular Season,2 : 1,Geek Fam ID,[]
78,2021-01-24,08:00 UTC,S-Tier Tournaments,M2 World Championship/Playoffs,1 : 3,Bren Esports,[]
79,2021-01-23,08:15 UTC,S-Tier Tournaments,M2 World Championship/Playoffs,2 : 3,Burmese Ghouls,[]
80,2021-01-22,10:45 UTC,S-Tier Tournaments,M2 World Championship/Playoffs,2 : 0,Omega Esports,[]
81,2021-01-19,12:00 UTC,S-Tier Tournaments,M2 World Championship/Group Stage,2 : 1,EVOS SG,[]
82,2021-01-19,08:00 UTC,S-Tier Tournaments,M2 World Championship/Group Stage,2 : 0,DreamMax e-Sports,[]
83,2020-12-05,,A-Tier Tournaments,ONE Esports MPL Invitational/2020,0 : 2,Alter Ego,[]
84,2020-10-18,,A-Tier Tournaments,MPL/Indonesia/Season 6/Playoffs,3 : 2,Alter Ego,[]
85,2020-10-17,,A-Tier Tournaments,MPL/Indonesia/Season 6/Playoffs,2 : 0,Bigetron Alpha,[]
86,2020-10-16,,A-Tier Tournaments,MPL/Indonesia/Season 6/Playoffs,2 : 1,ONIC Esports,[]
87,2020-10-04,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 1,EVOS Legends,[]
88,2020-10-02,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 0,Alter Ego,[]
89,2020-09-27,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 0,Aerowolf Pro Team,[]
90,2020-09-26,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 0,Bigetron Alpha,[]
91,2020-09-19,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 0,AURA Fire,[]
92,2020-09-13,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 0,ONIC Esports,[]
93,2020-09-12,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 1,Geek Fam ID,[]
94,2020-09-06,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 1,AURA Fire,[]
95,2020-08-30,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,1 : 2,Aerowolf Pro Team,[]
96,2020-08-29,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,0 : 2,Alter Ego,[]
97,2020-08-23,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,1 : 2,ONIC Esports,[]
98,2020-08-22,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,0 : 2,Bigetron Alpha,[]
99,2020-08-15,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 0,EVOS Legends,[]
100,2020-08-14,,A-Tier Tournaments,MPL/Indonesia/Season 6/Regular Season,2 : 0,Geek Fam ID,[]
101,2020-07-05,,A-Tier Tournaments,MPLI 4 Nation Cup/Playoffs,3 : 0,Resurgence,[]
102,2020-07-04,06:00 UTC,A-Tier Tournaments,MPLI 4 Nation Cup/Playoffs,2 : 0,Resurgence,[]
103,2020-07-03,06:00 UTC,A-Tier Tournaments,MPLI 4 Nation Cup/Playoffs,2 : 0,EVOS Legends,[]
104,2020-04-12,,A-Tier Tournaments,MPL/Indonesia/Season 5/Playoffs,3 : 2,EVOS Legends,[]
105,2020-04-11,,A-Tier Tournaments,MPL/Indonesia/Season 5/Playoffs,2 : 1,EVOS Legends,[]
106,2020-04-10,,A-Tier Tournaments,MPL/Indonesia/Season 5/Playoffs,2 : 0,ONIC Esports,[]
107,2020-03-29,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 0,ONIC Esports,[]
108,2020-03-28,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,0 : 2,EVOS Legends,[]
109,2020-03-21,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 0,AURA Fire,[]
110,2020-03-20,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 0,Bigetron Alpha,[]
111,2020-03-14,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 0,Alter Ego,[]
112,2020-03-08,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 0,Geek Fam ID,[]
113,2020-03-07,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,0 : 2,Aerowolf Pro Team,[]
114,2020-03-01,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 1,ONIC Esports,[]
115,2020-02-28,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 0,Bigetron Alpha,[]
116,2020-02-21,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 0,AURA Fire,[]
117,2020-02-16,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,0 : 2,Alter Ego,[]
118,2020-02-15,,A-Tier Tournaments,MPL/Indonesia/Season 5/Regular Season,2 : 1,Aerowolf Pro Team,[]
